Log file created at  2020-11-24 14:23:37
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='PAC_Bayes_variational_role', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Shuffled_Pixels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='FcNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/ShuffledPixels200_TasksN/10', run_name='ShuffledPixels200_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-FcNet3
---- Meta-Training set: 10 tasks
(22.3%)	Epoch: 11 	 Batch: 50 	 Objective: 1.058 	  Acc: 0.981	 Empiric-Loss: 0.0518	 Task-Comp. 0.1996	 Meta-Comp.: 0.8065
(22.7%)	Epoch: 11 	 Batch: 100 	 Objective: 1.062 	  Acc: 0.98	 Empiric-Loss: 0.06375	 Task-Comp. 0.1931	 Meta-Comp.: 0.8055
(23.0%)	Epoch: 11 	 Batch: 150 	 Objective: 1.052 	  Acc: 0.98	 Empiric-Loss: 0.05616	 Task-Comp. 0.1912	 Meta-Comp.: 0.8045
(23.4%)	Epoch: 11 	 Batch: 200 	 Objective: 1.049 	  Acc: 0.979	 Empiric-Loss: 0.05755	 Task-Comp. 0.1886	 Meta-Comp.: 0.8034
(23.7%)	Epoch: 11 	 Batch: 250 	 Objective: 1.02 	  Acc: 0.987	 Empiric-Loss: 0.04005	 Task-Comp. 0.1778	 Meta-Comp.: 0.8023
(24.0%)	Epoch: 12 	 Batch: 0 	 Objective: 1.078 	  Acc: 0.968	 Empiric-Loss: 0.08054	 Task-Comp. 0.1964	 Meta-Comp.: 0.8014
(24.3%)	Epoch: 12 	 Batch: 50 	 Objective: 1.005 	  Acc: 0.985	 Empiric-Loss: 0.03928	 Task-Comp. 0.1654	 Meta-Comp.: 0.8003
(24.7%)	Epoch: 12 	 Batch: 100 	 Objective: 1.024 	  Acc: 0.982	 Empiric-Loss: 0.04574	 Task-Comp. 0.1786	 Meta-Comp.: 0.7992
(25.0%)	Epoch: 12 	 Batch: 150 	 Objective: 1.036 	  Acc: 0.982	 Empiric-Loss: 0.05581	 Task-Comp. 0.1815	 Meta-Comp.: 0.7982
(25.4%)	Epoch: 12 	 Batch: 200 	 Objective: 1.024 	  Acc: 0.983	 Empiric-Loss: 0.05138	 Task-Comp. 0.1758	 Meta-Comp.: 0.7971
(25.7%)	Epoch: 12 	 Batch: 250 	 Objective: 1.033 	  Acc: 0.977	 Empiric-Loss: 0.0585	 Task-Comp. 0.178	 Meta-Comp.: 0.796
(26.0%)	Epoch: 13 	 Batch: 0 	 Objective: 1.029 	  Acc: 0.981	 Empiric-Loss: 0.04998	 Task-Comp. 0.1841	 Meta-Comp.: 0.7951
(26.3%)	Epoch: 13 	 Batch: 50 	 Objective: 0.9992 	  Acc: 0.987	 Empiric-Loss: 0.04021	 Task-Comp. 0.165	 Meta-Comp.: 0.794
(26.7%)	Epoch: 13 	 Batch: 100 	 Objective: 1.019 	  Acc: 0.984	 Empiric-Loss: 0.06036	 Task-Comp. 0.1658	 Meta-Comp.: 0.793
(27.0%)	Epoch: 13 	 Batch: 150 	 Objective: 0.9856 	  Acc: 0.988	 Empiric-Loss: 0.0369	 Task-Comp. 0.1568	 Meta-Comp.: 0.7919
(27.4%)	Epoch: 13 	 Batch: 200 	 Objective: 0.9895 	  Acc: 0.989	 Empiric-Loss: 0.04013	 Task-Comp. 0.1585	 Meta-Comp.: 0.7909
(27.7%)	Epoch: 13 	 Batch: 250 	 Objective: 0.9916 	  Acc: 0.986	 Empiric-Loss: 0.04262	 Task-Comp. 0.1591	 Meta-Comp.: 0.7899
(28.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.9946 	  Acc: 0.984	 Empiric-Loss: 0.04412	 Task-Comp. 0.1615	 Meta-Comp.: 0.789
(28.3%)	Epoch: 14 	 Batch: 50 	 Objective: 0.9873 	  Acc: 0.984	 Empiric-Loss: 0.04259	 Task-Comp. 0.1568	 Meta-Comp.: 0.7879
(28.7%)	Epoch: 14 	 Batch: 100 	 Objective: 0.9929 	  Acc: 0.983	 Empiric-Loss: 0.04602	 Task-Comp. 0.16	 Meta-Comp.: 0.787
(29.0%)	Epoch: 14 	 Batch: 150 	 Objective: 0.9622 	  Acc: 0.989	 Empiric-Loss: 0.03254	 Task-Comp. 0.1437	 Meta-Comp.: 0.786
(29.4%)	Epoch: 14 	 Batch: 200 	 Objective: 0.9622 	  Acc: 0.991	 Empiric-Loss: 0.03032	 Task-Comp. 0.1469	 Meta-Comp.: 0.785
(29.7%)	Epoch: 14 	 Batch: 250 	 Objective: 0.9749 	  Acc: 0.987	 Empiric-Loss: 0.03778	 Task-Comp. 0.1531	 Meta-Comp.: 0.784
(30.0%)	Epoch: 15 	 Batch: 0 	 Objective: 0.9969 	  Acc: 0.979	 Empiric-Loss: 0.05408	 Task-Comp. 0.1597	 Meta-Comp.: 0.7832
(30.3%)	Epoch: 15 	 Batch: 50 	 Objective: 0.9656 	  Acc: 0.986	 Empiric-Loss: 0.04149	 Task-Comp. 0.1419	 Meta-Comp.: 0.7822
(30.7%)	Epoch: 15 	 Batch: 100 	 Objective: 0.9654 	  Acc: 0.987	 Empiric-Loss: 0.04369	 Task-Comp. 0.1405	 Meta-Comp.: 0.7812
