Log file created at  2020-11-25 09:30:43
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Permute_Labels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='ConvNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/PermutedLabels_TasksN/10', run_name='PermutedLabels_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-ConvNet3
---- Meta-Training set: 10 tasks
(10.7%)	Epoch: 5 	 Batch: 100 	 Objective: 0.9103 	  Acc: 0.963	 Empiric-Loss: 0.1408	 Task-Comp. 0.2147	 Meta-Comp.: 0.5548
(8.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.302 	  Acc: 0.863	 Empiric-Loss: 0.4634	 Task-Comp. 0.2828	 Meta-Comp.: 0.5561
(9.4%)	Epoch: 4 	 Batch: 200 	 Objective: 0.9747 	  Acc: 0.953	 Empiric-Loss: 0.1751	 Task-Comp. 0.2446	 Meta-Comp.: 0.5549
(7.7%)	Epoch: 3 	 Batch: 250 	 Objective: 2.677 	  Acc: 0.375	 Empiric-Loss: 1.784	 Task-Comp. 0.3375	 Meta-Comp.: 0.5561
(8.7%)	Epoch: 4 	 Batch: 100 	 Objective: 1.177 	  Acc: 0.946	 Empiric-Loss: 0.1944	 Task-Comp. 0.2327	 Meta-Comp.: 0.5558
(11.0%)	Epoch: 5 	 Batch: 150 	 Objective: 0.9121 	  Acc: 0.959	 Empiric-Loss: 0.1501	 Task-Comp. 0.2073	 Meta-Comp.: 0.5548
(8.0%)	Epoch: 4 	 Batch: 0 	 Objective: 2.305 	  Acc: 0.588	 Empiric-Loss: 1.228	 Task-Comp. 0.5211	 Meta-Comp.: 0.5561
(8.3%)	Epoch: 4 	 Batch: 50 	 Objective: 1.247 	  Acc: 0.875	 Empiric-Loss: 0.4287	 Task-Comp. 0.2617	 Meta-Comp.: 0.5561
(9.7%)	Epoch: 4 	 Batch: 250 	 Objective: 0.964 	  Acc: 0.953	 Empiric-Loss: 0.1757	 Task-Comp. 0.2335	 Meta-Comp.: 0.5549
(9.0%)	Epoch: 4 	 Batch: 150 	 Objective: 1.229 	  Acc: 0.938	 Empiric-Loss: 0.2251	 Task-Comp. 0.2235	 Meta-Comp.: 0.5558
